2025-11-24 17:14:31 | alexey_kozak | Q: Привет | A: Привет-привет! | Tag: greeting | Prob: 1.00 | Type: high_conf
2025-11-24 17:14:37 | alexey_kozak | Q: Где шоппинг в Токио? | A: В Токио советую район Ginza и Shibuya для шоппинга. | Tag: shopping | Prob: 1.00 | Type: high_conf
2025-11-24 17:14:42 | alexey_kozak | Q: Лучшие магазины на Бали? | A: На Бали популярны рынки Убуда и магазины в Семиньяке. | Tag: shopping | Prob: 1.00 | Type: high_conf
2025-11-24 17:14:49 | alexey_kozak | Q: Как добраться до аэропорта Сеула? | A: В Сеуле метро покрывает все ключевые районы. | Tag: transport_info | Prob: 1.00 | Type: high_conf
2025-11-24 17:14:55 | alexey_kozak | Q: Какие достопримечательности посмотреть в Бангкоке? | A: В Бангкоке рекомендуются храмы Wat Pho и Grand Palace. | Tag: attractions | Prob: 1.00 | Type: high_conf
2025-11-24 17:15:00 | alexey_kozak | Q: Где поесть на Пхукете? | A: На Пхукете попробуйте морепродукты на пляже Патонг. | Tag: restaurants | Prob: 1.00 | Type: high_conf
2025-11-24 17:15:05 | alexey_kozak | Q: Можно ли заказать экскурсию онлайн? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: transport_info | Prob: 0.19 | Type: unknown
2025-11-24 17:15:12 | alexey_kozak | Q: Какие сувениры лучше брать в Сингапуре? | A: Лучше всего посещать Бали в сухой сезон с апреля по октябрь. | Tag: weather_info | Prob: 0.83 | Type: high_conf
2025-11-24 17:15:28 | alexey_kozak | Q: Есть ли хорошие рестораны на Фукуоке? | A: На Фукуоке популярна свежая рыба и уличная еда в Дуонг Донг. | Tag: restaurants | Prob: 1.00 | Type: high_conf
2025-11-24 17:15:37 | alexey_kozak | Q: Можно ли арендовать скутер в Сеуле? | A: Пожалуйста, уточните ваш запрос. | Tag: transport_info | Prob: 0.37 | Type: clarification
2025-11-24 17:15:43 | alexey_kozak | Q: Какие музеи стоит посетить в Токио? | A: Пожалуйста, уточните ваш запрос. | Tag: hotel_info | Prob: 0.52 | Type: clarification
2025-11-24 17:15:50 | alexey_kozak | Q: Как приготовить тайский кофе со льдом? | A: В Сингапуре эффективно метро MRT и автобусы. | Tag: transport_info | Prob: 0.98 | Type: high_conf
2025-11-24 17:15:57 | alexey_kozak | Q: Могу ли я привезти слона в Сингапур? | A: Можете уточнить, что именно вас интересует? | Tag: hotel_info | Prob: 0.47 | Type: clarification
2025-11-24 17:16:06 | alexey_kozak | Q: Сколько стоит билет на Луну? | A: Пока не знаю точного ответа, но обязательно изучу этот вопрос. | Tag: goodbye | Prob: 0.27 | Type: unknown
2025-11-24 17:16:13 | alexey_kozak | Q: Как сделать японский сад дома? | A: В Сеуле метро покрывает все ключевые районы. | Tag: transport_info | Prob: 0.98 | Type: high_conf
2025-11-24 17:16:21 | alexey_kozak | Q: Почему на Пхукете пляж песчаный? | A: Пока не знаю точного ответа, но обязательно изучу этот вопрос. | Tag: hotel_info | Prob: 0.29 | Type: unknown
2025-11-24 17:30:18 | alexey_kozak | Q: Привет | A: Привет-привет! | Tag: greeting | Prob: 1.00 | Type: high_conf
2025-11-24 17:30:55 | alexey_kozak | Q: Можно ли заказать экскурсию онлайн? | A: Можете уточнить, что именно вас интересует? | Tag: greeting | Prob: 0.69 | Type: clarification
2025-11-24 17:31:02 | alexey_kozak | Q: Какие сувениры лучше брать в Сингапуре? | A: На Пхукете сухой сезон с ноября по апрель. | Tag: weather_info | Prob: 0.84 | Type: high_conf
2025-11-24 17:31:09 | alexey_kozak | Q: Есть ли хорошие рестораны на Фукуоке? | A: На Фукуоке популярна свежая рыба и уличная еда в Дуонг Донг. | Tag: restaurants | Prob: 1.00 | Type: high_conf
2025-11-24 17:31:17 | alexey_kozak | Q: Можно ли арендовать скутер в Сеуле? | A: Пожалуйста, уточните ваш запрос. | Tag: greeting | Prob: 0.37 | Type: clarification
2025-11-24 17:31:25 | alexey_kozak | Q: Какие музеи стоит посетить в Токио? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: unknown | Prob: 0.86 | Type: high_conf
2025-11-24 17:31:33 | alexey_kozak | Q: Как приготовить тайский кофе со льдом? | A: На Фукуоке удобно арендовать скутер или такси для передвижения по острову. | Tag: transport_info | Prob: 0.83 | Type: high_conf
2025-11-24 17:31:38 | alexey_kozak | Q: Могу ли я привезти слона в Сингапур? | A: Можете уточнить, что именно вас интересует? | Tag: nightlife | Prob: 0.65 | Type: clarification
2025-11-24 17:31:44 | alexey_kozak | Q: Сколько стоит билет на Луну? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-24 17:31:51 | alexey_kozak | Q: Как сделать японский сад дома? | A: В Сингапуре эффективно метро MRT и автобусы. | Tag: transport_info | Prob: 0.83 | Type: high_conf
2025-11-24 17:32:06 | alexey_kozak | Q: Почему на Пхукете пляж песчаный? | A: Пожалуйста, уточните ваш запрос. | Tag: restaurants | Prob: 0.40 | Type: clarification
2025-11-24 18:51:38 | alexey_kozak | Q: Привет | A: Привет! Чем могу помочь в путешествии по Азии? | Tag: greeting | Prob: 1.00 | Type: high_conf
2025-11-24 18:51:47 | alexey_kozak | Q: Можно ли заказать экскурсию онлайн? | A: Пока не знаю точного ответа, но обязательно изучу этот вопрос. | Tag: nightlife | Prob: 0.25 | Type: unknown
2025-11-24 18:52:17 | alexey_kozak | Q: Какие сувениры лучше брать в Сингапуре? | A: Можете уточнить, что именно вас интересует? | Tag: weather_info | Prob: 0.79 | Type: clarification
2025-11-24 18:52:25 | alexey_kozak | Q: Есть ли хорошие рестораны на Фукуоке? | A: На Фукуоке популярна свежая рыба и уличная еда в Дуонг Донг. | Tag: restaurants | Prob: 1.00 | Type: high_conf
2025-11-24 18:52:33 | alexey_kozak | Q: Можно ли арендовать скутер в Сеуле? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: greeting | Prob: 0.24 | Type: unknown
2025-11-24 18:52:41 | alexey_kozak | Q: Какие музеи стоит посетить в Токио? | A: Пожалуйста, уточните ваш запрос. | Tag: hotel_info | Prob: 0.51 | Type: clarification
2025-11-24 18:52:50 | alexey_kozak | Q: Как приготовить тайский кофе со льдом? | A: На Бали можно арендовать мотоцикл, автомобиль или использовать экскурсионные туры. | Tag: transport_info | Prob: 0.89 | Type: high_conf
2025-11-24 18:52:58 | alexey_kozak | Q: Могу ли я привезти слона в Сингапур? | A: Пока не знаю точного ответа, но обязательно изучу этот вопрос. | Tag: shopping | Prob: 0.27 | Type: unknown
